sqft,bedrooms,bathrooms,location,age,garage,pool,basement,price
1174,1,4.26034854341525,Historic,77,0,1,0,365452
4050,4,3.32249044096773,Downtown,67,2,0,1,640232
3549,5,3.2424828530283327,Historic,92,1,1,1,561766
2643,5,4.479863400551065,Downtown,96,0,0,1,510298
2618,2,1.683258357658813,Downtown,70,0,0,0,468121
4406,3,4.22825287546342,Downtown,37,3,1,0,704378
1160,3,4.330735742054866,Waterfront,59,3,0,1,468246
3728,2,3.9303846175891506,Historic,42,3,0,1,634048
1646,2,3.048569289846958,Waterfront,62,0,0,0,461711
1195,2,3.460769605239566,Downtown,81,1,0,1,372500
3011,5,2.7115580415967777,Downtown,36,3,0,0,587685
4897,4,4.150454011557474,Hillside,50,2,0,0,696374
3890,5,1.0473740200054817,Hillside,4,0,0,0,599453
3996,5,2.1382053716385307,Historic,73,0,0,0,627254
3813,5,3.9188231935306828,Downtown,48,1,0,0,658271
4101,1,4.0092597818211235,Hillside,45,3,0,1,615239
2955,5,2.188321974811352,Historic,53,0,0,0,546110
1338,1,2.0312835129016444,Waterfront,21,3,0,0,403615
4326,3,1.1106294675622033,Downtown,59,2,0,0,628336
2691,3,1.6201492866282963,Hillside,74,3,0,0,456690
2901,2,1.2416389087390858,Waterfront,34,3,0,0,503382
2357,1,1.5692120504306768,Downtown,13,1,0,0,393034
1566,1,4.590195382766126,Suburbs,38,3,0,0,364770
4692,5,4.8494353330897795,Waterfront,19,0,0,1,814225
4082,2,4.004741392911874,Downtown,37,1,0,1,635407
3504,2,1.8533694593423666,Suburbs,62,0,0,0,480807
2490,5,1.619119086426974,Waterfront,11,0,1,1,647005
4255,1,2.1627434861049575,Hillside,74,0,0,1,515459
3090,5,3.772937388135284,Downtown,22,0,0,1,607245
2662,5,2.8554915417905855,Waterfront,89,0,0,1,582381
2691,3,2.2542634837541575,Hillside,73,1,0,1,452868
1754,1,1.9187936809026809,Hillside,27,0,0,1,361168
1186,1,3.4544574302986577,Hillside,56,0,0,1,291697
3129,2,2.6034244543333216,Downtown,11,3,0,0,582069
4529,3,1.9846495336176435,Hillside,9,0,0,1,618957
1068,1,3.3615360786391992,Hillside,95,0,1,0,343991
4404,3,4.813159345820113,Suburbs,80,0,1,1,643867
4276,1,1.3183991178284598,Waterfront,15,0,0,0,644917
1962,3,2.799213522241491,Waterfront,28,2,0,0,513882
3452,1,4.600733918862643,Waterfront,19,3,1,0,660056
1493,4,3.2163556952254013,Suburbs,39,2,0,0,396504
3983,1,4.414026093789237,Hillside,29,2,1,0,607732
3742,1,2.317635634363562,Hillside,32,0,0,0,514484
2289,1,2.078108393080364,Suburbs,52,3,1,0,407606
1085,5,3.0298347700996975,Hillside,18,0,1,0,415746
4876,1,1.3464786554071808,Suburbs,88,2,0,0,554075
2671,3,1.0190341478174867,Historic,72,1,0,1,503958
4551,3,3.165487757581775,Waterfront,76,3,0,0,711767
3647,3,3.725183320850869,Waterfront,16,1,0,0,690542
4069,4,1.7080912356835878,Downtown,70,2,0,0,612228
3991,5,3.7385803864573828,Historic,83,1,1,0,654044
1617,2,2.317153171129979,Suburbs,17,2,0,0,349190
2328,5,3.8900194571176954,Suburbs,75,3,0,1,503148
2760,2,4.593830548028448,Downtown,35,2,1,1,576418
2890,5,1.1260263417466265,Hillside,78,1,0,0,520810
983,3,4.143718661455534,Downtown,47,1,0,1,406735
3095,4,2.6930954269297014,Historic,80,2,1,0,580670
1448,5,4.172943936442078,Hillside,14,1,0,0,464248
3922,4,2.507292701582043,Downtown,38,0,0,0,644917
3668,5,2.9917744759287106,Waterfront,27,1,0,0,683635
4674,3,4.0040076047333395,Waterfront,24,0,1,1,819784
3928,1,3.016579801897557,Suburbs,30,0,0,1,529780
2339,3,1.9930845819305065,Historic,38,1,0,1,447687
4863,1,3.5846388341341653,Waterfront,12,3,0,0,712608
2525,5,4.1269099755185135,Waterfront,70,3,0,1,670524
2168,2,2.8973021997540935,Waterfront,55,1,1,0,530788
4603,2,4.880380300127692,Hillside,82,1,0,0,613763
2355,2,3.5362004131113753,Historic,70,0,1,0,476423
1120,4,2.6217920298607567,Suburbs,14,3,0,1,420680
2772,3,1.2731871915008763,Hillside,6,0,0,1,522180
4141,5,3.050519696372005,Hillside,42,3,1,0,650081
1595,3,1.5945676088908645,Hillside,48,3,0,0,382211
